previous,high,low,close
11125,11200,10925,11000
11000,11550,11025,11300
11300,11825,11350,11375
11375,11575,11175,11200
11200,11200,11025,11050
11050,11250,11025,11050
11050,11175,10825,10850
10850,11000,10750,10800
10800,11000,10775,10850
10850,10900,10600,10650
10650,10700,10575,10650
10650,10850,10500,10775
10775,10875,10600,10600
10600,10725,10125,10175
10175,10275,9925,10025
10025,10300,10050,10300
10300,10375,10125,10300
10300,10450,10300,10300
10300,10400,10275,10300
10300,10325,10050,10200
10200,10275,10175,10200
10200,10225,9950,9975
9975,10050,9800,9825
9825,10000,9850,9975
9975,10075,9950,9975
9975,10050,9900,9950
9950,10100,9650,9700
9700,9775,9425,9525
9525,9825,9500,9800
9800,9900,9350,9475
9475,9500,9350,9425
9425,9425,9275,9275
9275,9450,9075,9350
9350,9525,9300,9300
9300,9400,9275,9275
9275,9475,9300,9325
9325,9425,9250,9425
9425,9725,9425,9675
9675,9975,9675,9950
9950,10000,9700,9750
9750,9925,9700,9725
9725,10500,9775,10450
10450,10450,10075,10150
10150,10350,9925,10000
10000,10100,9850,10000
10000,10150,9700,9775
9775,9975,9650,9875
9875,9975,9400,9400
9400,10000,9450,10000
9400,9375,8775,8800
8800,9075,8750,8775
8775,8950,8800,8825
8825,8900,8750,8775
8775,8950,8775,8825
8825,9100,8825,9075
9075,9325,9100,9200
9200,9250,9150,9175
9175,9325,9100,9125
9125,9175,8800,8875
8875,9000,8875,8900
8900,8975,8800,8925
8925,9050,8875,8900
8900,8950,8500,8500
8500,8625,8250,8300
8300,8500,8250,8400
8400,8425,8225,8275
8275,8350,8025,8025
8025,7900,7625,7800
7800,8250,7900,8050
8050,8200,7750,7775
7775,7900,7650,7650
7650,7800,7650,7800
7800,7850,7525,7575
7575,7750,7575,7600
7600,7750,7600,7600
7600,7975,7625,7850
7850,7950,7825,7850
7850,8125,7675,7750
7750,7900,7750,7875
7875,7875,7700,7725
7725,7800,7550,7575
7575,7675,7500,7575
